pair_id,lifetime_revenue,walk_count,dog_count,max_dog_size,min_dog_size,requester_gender,requester_fee,requester_new_to_rover,previous_client_count,price_per_walk,provider_fee,provider_gender,provider_new_to_rover,new_service_relationship,percent_morning_walks,percent_afternoon_walks,percent_evening_walks,experience
1,416,8,1,1,1,f,0.050000000000000003,1,8,26,0.20000000000000001,m,0,0,0.37500000000000000,0.37500000000000000,0.25000000000000000,requestor new
21,10564.4,49,1,4,4,m,0.050000000000000003,0,9,22,0.14999999999999999,f,0,0,0.32653061224489795,0.38775510204081632,0.28571428571428571,both experienced
48,2246.3999999999996,24,2,4,1,f,0.050000000000000003,1,7,13,0.25,f,0,1,0.37500000000000000,0.33333333333333333,0.29166666666666666,requestor new
71,281.75,7,1,3,3,f,0.050000000000000003,0,9,23,0.20000000000000001,f,0,0,0.14285714285714285,0.57142857142857142,0.28571428571428571,both experienced
91,437.39999999999998,9,1,3,3,m,0.050000000000000003,0,9,18,0.25,f,0,0,0.55555555555555555,0.22222222222222222,0.22222222222222222,both experienced
103,3049.1999999999998,22,1,4,4,f,0.050000000000000003,0,8,21,0.25,m,0,0,0.22727272727272727,0.50000000000000000,0.27272727272727272,both experienced
105,12575.250000000002,45,1,2,2,f,0.070000000000000007,0,11,23,0.20000000000000001,m,0,0,0.37777777777777777,0.31111111111111111,0.31111111111111111,both experienced
118,504,12,2,4,2,m,0.050000000000000003,1,9,14,0.20000000000000001,f,0,0,0.50000000000000000,0.25000000000000000,0.25000000000000000,requestor new
124,264.59999999999997,7,2,3,1,m,0.070000000000000007,0,8,20,0.20000000000000001,f,1,0,0.42857142857142857,0.42857142857142857,0.14285714285714285,provider new
137,1259.9999999999998,20,2,4,3,m,0,0,12,21,0.14999999999999999,f,1,0,0.55000000000000000,0.20000000000000000,0.25000000000000000,provider new
144,1507.6499999999999,23,1,4,4,m,0,1,15,19,0.14999999999999999,f,0,0,0.39130434782608695,0.34782608695652173,0.26086956521739130,requestor new
145,413.10000000000002,9,1,4,4,f,0.050000000000000003,1,7,17,0.25,m,1,0,0.33333333333333333,0.33333333333333333,0.33333333333333333,both new
166,1846.8000000000002,18,1,1,1,m,0.050000000000000003,0,6,19,0.25,f,0,1,0.38888888888888888,0.27777777777777777,0.33333333333333333,both experienced
169,5818.75,35,1,4,4,f,0.050000000000000003,0,11,19,0.20000000000000001,f,0,0,0.40000000000000000,0.42857142857142857,0.17142857142857142,both experienced
189,2592,24,1,3,3,m,0.050000000000000003,1,5,15,0.25,m,0,0,0.41666666666666666,0.20833333333333333,0.37500000000000000,requestor new
192,232.75,7,1,1,1,f,0.050000000000000003,0,3,19,0.20000000000000001,f,1,0,0.14285714285714285,0.14285714285714285,0.71428571428571428,provider new
201,8643.6000000000004,49,2,4,3,f,0,1,7,18,0.20000000000000001,f,0,0,0.44897959183673469,0.20408163265306122,0.34693877551020408,requestor new
206,4205,29,1,2,2,f,0.050000000000000003,0,14,20,0.20000000000000001,f,0,0,0.41379310344827586,0.31034482758620689,0.27586206896551724,both experienced
214,4993.920000000001,34,1,4,4,f,0.070000000000000007,0,9,16,0.20000000000000001,f,0,0,0.44117647058823529,0.32352941176470588,0.23529411764705882,both experienced
219,845,13,3,4,2,m,0,1,7,25,0.20000000000000001,f,0,0,0.23076923076923076,0.53846153846153846,0.23076923076923076,requestor new
221,3718,26,1,3,3,f,0.050000000000000003,0,9,22,0.20000000000000001,f,0,0,0.42307692307692307,0.19230769230769230,0.38461538461538461,both experienced
224,9792,48,2,4,3,f,0.050000000000000003,1,8,17,0.20000000000000001,f,1,0,0.52083333333333333,0.29166666666666666,0.18750000000000000,both new
230,70.000000000000014,5,3,4,3,m,0,1,8,14,0.20000000000000001,m,0,0,0.60000000000000000,0.00000000000000000,0.40000000000000000,requestor new
246,3042,26,3,4,1,m,0.050000000000000003,1,11,18,0.20000000000000001,m,0,0,0.26923076923076923,0.38461538461538461,0.34615384615384615,requestor new
252,8820.8999999999996,33,1,1,1,m,0.050000000000000003,0,11,27,0.25,f,0,0,0.42424242424242424,0.48484848484848484,0.09090909090909090,both experienced
256,281.75,7,1,1,1,f,0.050000000000000003,0,7,23,0.20000000000000001,m,0,1,0.57142857142857142,0.14285714285714285,0.28571428571428571,both experienced
282,6064.8000000000002,38,1,1,1,m,0,1,7,28,0.14999999999999999,f,0,0,0.23684210526315789,0.42105263157894736,0.34210526315789473,requestor new
288,612,12,1,4,4,m,0,0,8,17,0.25,f,0,0,0.16666666666666666,0.58333333333333333,0.25000000000000000,both experienced
290,10161.400000000001,47,1,1,1,f,0,1,8,23,0.20000000000000001,f,0,0,0.36170212765957446,0.38297872340425531,0.25531914893617021,requestor new
307,9025,38,2,3,2,f,0.050000000000000003,0,7,25,0.20000000000000001,f,0,0,0.47368421052631578,0.26315789473684210,0.26315789473684210,both experienced
312,3032.4000000000005,38,1,1,1,f,0,1,7,14,0.14999999999999999,f,1,0,0.47368421052631578,0.36842105263157894,0.15789473684210526,both new
332,2241.8100000000004,19,2,2,1,m,0.070000000000000007,1,9,23,0.20000000000000001,f,0,0,0.31578947368421052,0.42105263157894736,0.26315789473684210,requestor new
362,1125.0000000000002,25,2,1,1,f,0.050000000000000003,1,11,9,0.14999999999999999,m,0,1,0.16000000000000000,0.40000000000000000,0.44000000000000000,requestor new
